date,store_id,store_type,location_type,region_code,holiday,discount,orders,sales
2018-01,1,S1,L3,R1,5,15,1884,1145607.81
2018-01,2,S3,L1,R3,5,15,2144,1440212.91
2018-01,3,S4,L2,R1,5,15,3225,1881592.47
2018-01,4,S1,L1,R2,5,15,1871,1196211.06
2018-01,5,S1,L1,R3,5,15,2091,1445288.52
2018-01,6,S4,L1,R1,5,15,2302,1421165.94
2018-01,7,S3,L1,R3,5,15,2254,1510564.8900000001
2018-01,8,S4,L2,R2,5,15,2757,1839284.67
2018-01,9,S1,L1,R1,5,15,1637,1210035.72
2018-01,10,S4,L2,R3,5,15,2527,1889143.02
2018-01,11,S4,L2,R1,5,15,3102,2033291.04
2018-01,12,S1,L3,R2,5,15,1571,1031577.81
2018-01,13,S3,L3,R1,5,15,1809,1038483.06
2018-01,14,S3,L2,R4,5,15,2352,1956959.04
2018-01,15,S4,L2,R1,5,15,3463,2261147.37
2018-01,16,S1,L3,R1,5,15,1841,1134455.07
2018-01,17,S1,L1,R2,5,15,2045,1264301.37
2018-01,18,S4,L1,R1,5,15,2752,1686312.69
2018-01,19,S1,L1,R3,5,15,1635,1328992.86
2018-01,20,S1,L1,R1,5,15,1406,1193254.62
2018-01,21,S3,L2,R4,5,15,2123,1556563.29
2018-01,22,S1,L1,R4,5,15,1876,1571359.53
2018-01,23,S1,L1,R4,5,15,1735,1370741.46
2018-01,24,S1,L1,R2,5,15,1625,1109218.47
2018-01,25,S1,L3,R1,5,15,1906,1239445.02
2018-01,26,S1,L1,R3,5,15,2088,1519470.12
2018-01,27,S1,L3,R3,5,15,1363,996937.47
2018-01,28,S3,L2,R3,5,15,2186,1662731.1
2018-01,29,S1,L4,R2,5,15,1473,1001445.06
2018-01,30,S1,L2,R2,5,15,2054,1548519.21
2018-01,31,S1,L5,R2,5,15,1478,910542.21
2018-01,32,S1,L1,R2,5,15,1861,1436470.92
2018-01,33,S4,L2,R4,5,15,2469,1768432.14
2018-01,34,S1,L3,R1,5,15,1741,1073229.24
2018-01,35,S1,L1,R2,5,15,1964,1327597.38
2018-01,36,S1,L3,R4,5,15,1646,1117647.96
2018-01,37,S1,L3,R3,5,15,1469,1101823.47
2018-01,38,S1,L3,R2,5,15,1556,1142978.22
2018-01,39,S4,L1,R1,5,15,2897,1677887.88
2018-01,40,S1,L1,R4,5,15,1895,1530306.3900000001
2018-01,41,S1,L1,R2,5,15,1986,1445454.78
2018-01,42,S1,L4,R3,5,15,1403,925880.22
2018-01,43,S1,L1,R2,5,15,1530,1081457.43
2018-01,44,S1,L3,R2,5,15,2121,1304780.43
2018-01,45,S3,L1,R1,5,15,1995,1281290.28
2018-01,46,S2,L1,R2,5,15,1353,1066533.03
2018-01,47,S4,L2,R2,5,15,2875,1767179.97
2018-01,48,S1,L1,R2,5,15,1660,1281845.97
2018-01,49,S4,L1,R2,5,15,2981,1804573.35
2018-01,50,S3,L2,R4,5,15,2193,1609076.16
2018-01,51,S1,L1,R2,5,15,1606,1165458.69
2018-01,52,S1,L1,R3,5,15,1651,1192116.84
